comment_er,level,comment_time,caption,content,support,object,feedback
见路不走,力荐,2021-10-25 04:26:39,218号才是我心中的男一号！,其实个人最喜欢的是男二，感觉这个人太接近生活中的你我他了，甚至说绝大部分都是生活中我们的真实心理，看起来有一份体面的工作，心里也其实还善良，但落魄到家绝境的时候也真是想赌一把搏一搏，而且在这个游戏中男二是唯一跟其他游戏者思想境界不同的一个人，虽然也一穷二白,,,0回应
ViVi,暂无评价,2021-10-25 02:21:19,无语的男主 牛逼的警察,朋友圈好多人都在刷，以为是什么特别牛逼的剧，选人去玩游戏，以为是要深刻地展现人性险恶的时候到了，结果最后传达的意思是要相信人性，要与人为善，就很无语。男主那么伪善的一个人，那么爱赌，也不在乎妻儿父母，也骗老人，在所有钱都归他的时候他居然说他放弃了，我可以接,,,0回应
Payailk,暂无评价,2021-10-25 01:54:26,灰色的人类,男主的性格就如我们身边千千万万人中的一个，灰色，矛盾。是个市侩小民、赌徒、啃老族，空有自尊却无能为力，但也仍是儿子、父亲，尚存一定的良知和恻隐之心。男主第一束良知和恻隐之心，放在了老人家身上，他数次向其施以援手，但却又在最后为了自己和救母亲的牵挂，选择葬送,1,,0回应
渣渣的天空,暂无评价,2021-10-24 22:22:54,短平快加工厂就是南朝鲜选的路,h式特色是个没有意义的伪命题，这就跟每个人都长得不一样，天然就不可能跟别人一样那就不是真正的有特色，特色是别人难以复制和超越的，而h式模式其实可以复制，所以大资本才看上他们，资本就要可以复制可以量化生产的。h流从90年代末喊起别看热闹了这么二十多年，实际上回想,,,0回应
哥白尼,推荐,2021-10-24 18:27:42,虎头但不算蛇尾,前几集的节奏是真的不错，吸引人一环扣一环的看下去，特别是第一个游戏木头人，让人意识到这次的残酷性，好的音乐也是不可缺少的一部分，第二个游戏糖饼，倒是颇有些搞笑🥸，可惜最后那集有些拖沓，结尾会再去参加游戏也是让人有点摸不着头脑，女儿在还美国等着呢，这个世界,,,0回应
Honey宁,暂无评价,2021-10-24 18:09:23,请问这个在哪能看呀？,请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可以看呀？请问这个在哪可,,,1回应
Elyn,暂无评价,2021-10-24 15:58:26,关于鱿鱼游戏踩中舔美的一些证据,声明：放到今年这部剧是很不错的，我差不多一天看完，前后也哭了两次，优点早就被吹烂了，我来写写怪处，一些大家或者忽视了或者早就习惯的怪处。虽然踩中舔美乃至踩亚捧欧是影视圈的通病，但一贯如此也不代表没错。[鱿鱼游戏]我写这个就是希望各位在看一些影视作品的时候不,,,0回应
珍,推荐,2021-10-24 15:38:45,小记,主题：赌博古老的游戏不确定性带来的快感赌马，股票，期货，贷款强迫性重复生理结构发生改变另类赌场器官黑市走私偷渡逃北————色彩，道具暖光黄变态黑金，皮手套，面具人造环境粉绿阴暗红蛇纹豹纹热带植物礼物盒————元素规则惩罚奖励作弊,,,0回应
淡白质,推荐,2021-10-24 14:21:09,略显仓促的结尾,好电视剧没问题，不过少一星也是有原因的。我认为其实整个故事线是没讲完的。警察线并没有能够制止犯罪游戏，也没有找到解决落魄人群生存问题的方法，甚至没看到希望，最后那警车帮流浪汉也太苍白了吧。只是起到开视野的作用。把卧底警员当成了展示游戏幕后运行系统的工具人。,,,0回应
怼人很凶的皮圈,力荐,2021-10-24 12:10:15,幕后大boss,"影片揭示了人性的复杂，一般情况能和主角在一起的不是半途扑街的炮灰，就是最后会反转剧情的大boss,一个年纪这么大的老头都能来参赛,比赛项目又与性命挂钩。在第一个游戏中的时候boss老头就跑得比谁都快,一点不输人家年轻人，奇勋在老头发烧时的悉心照顾、选择队友时的不言",,,0回应
林小墨,还行,2021-10-24 11:31:39,赌就是赌，不管是开赌的，还是参赌的，都没有什么好可怜的。,才9集，所以昨晚一个晚上、熬夜到2点和今天半个上午算是一天看完了这剧。倒不是说这剧在我看来有多好，有猜到最后的结局会是男主赢得最终游戏，猜到老头是背后boss，但其实内心很想这剧的结尾能给我一个大大的反转惊喜，可惜没有。这剧我认为最大的败笔在于男主的人设，前中后,,,0回应
逍遥者,暂无评价,2021-10-24 11:05:11,《鱿鱼游戏》观后感,这几天观看了网友热议的《鱿鱼游戏》，触动很大，观看全程高度紧张，很久没有如此刺激的看一部剧了。故事主要讲解了几百名极端落魄者（负债累累）自愿参加游戏并不断晋级的故事，最后胜利的那一个人将获得巨额奖金，而被淘汰者的命运就是死亡，整个游戏演绎着人性中恶的一面：,1,,0回应
黄金体验镇魂曲,还行,2021-10-24 10:24:55,鱿鱼游戏，越到后面越拉胯,前几集看着还没什么，越到后面感觉越怪。男主的人设太烂了，本来就是啃老进去的，自己第一集就对别人见死不救了后面还怪尚佑杀了无辜的人，驰名双标。我个人觉得男主是不配赢的，他既没有足够的聪明才智，又没有强大的力量，就连需要钱的理由和别人比起来也显得不那么重要。大,,,0回应
猫乐道,很差,2021-10-24 10:03:07,韩国盗窃中国文化。,【椪糖】又名‘椪糖’‘大梨糕’，起源于中国宋朝。【拔河】起源于中国春秋年间。【韩国拔河】，原名【唐朝拔河】，起源于中国唐朝。【鱿鱼服】，起源于中国建国初年，现多为【中国校服】。【123木头人】，起源于中国民国期间。【打纸包】，起源于中国民国期间。【打弹珠,1,3,0回应
大晃帽,较差,2021-10-24 09:32:26,如果我是要了解社会学，我直接看书不是更深刻吗,用故事观照社会问题一直是韩国的拿手好戏，这部剧的优点也很明显，一贯的剖析社会学创作理念，但也和往常一样，韩国人就是不肯戳破最后一张纸，给社会真正的财阀顶层找滤镜，结尾那个老头身份的反转，真的是“呕吐至极”的设计，（合着这个游戏最顶层的人物，非得是个可怜又浪,,,0回应
小麋鹿儿卧草,推荐,2021-10-24 09:19:23,老头说不定就是第一场游戏的胜利者,标题党了其实是想说老头是韩国第一代经济发展浪潮中赚到钞票的那类人。但他并不能够自主决定资本的走向，反而是被资本控制住了。所以他才会是第一号玩家。第一次投票的时候，所有人都知道了这游戏是杀人的游戏。赚到的钱是血钱。但还是有一半的人要玩下去。老头出于“玩家”间,,,0回应
嘿,暂无评价,2021-10-24 09:18:35,人性,终于把《鱿鱼游戏》追完了，虽然只有9集。整部剧用六段游戏血腥的揭露了人性，充满欺诈、自私和鲜有的无畏。在生与死面前体现得淋漓尽致，每一位参加游戏的人都不是无辜的，头顶上的金钱欲望，都是险恶人性的利剑，可是在第一次放弃后，大部分人又自愿带着难以割舍欲望参与了,1,,0回应
千嶂,力荐,2021-10-24 02:44:28,每个人的性格特点都不错，不知道是不是因为主角光环，才觉得明明也间接杀了人，却又指责童年伙伴，感觉又当又立的人设啊,当放任参与者之间的屠杀开始，一切又变质了，看到人与人之间关于你可以到我得队伍中，相互保护的“信任”，你来猜单双数，不记得刚说过的话的“善良”，手滑只能扔到脚下的“谎言”。老爷爷骗了超级多的眼泪，确实韩式反转结局，看得出最后是为了第二季铺垫，只想问下，那个警,,,0回应
小白羊跳跳糖,还行,2021-10-24 01:44:41,不想写长剧评但是字数超了,好像啥都说了又好像啥都没说。。男主人设过于装傻充愣了，摇摆不定，剧的主题就立不住。主人公可以灰色可以复杂，但都没交代明确，让人摸不着头脑。李政宰演起来还是不够味，换成孔刘也比这好，会更灰色（熔炉和釜山行就很稳，这两部人物动机明确，变化走向清晰）。整个剧节奏,,,0回应
Hear,力荐,2021-10-23 23:29:14,这不是在讲人性,为什么都觉得烂尾？我觉得认真看剧的人肯定不会认为故事是在单纯玩刺激劲爆的游戏或者讲人性啊。只是去指责谁谁的残忍冷酷有什么用？游戏规则的制定者和以此为乐的观赛者才是凶手，他们有资格考察人性吗？而且为什么这么多人说男主前期伪善后来又圣母心？舍己为人善良到底的人,2,,0回应
刘琦呈,推荐,2021-10-23 23:21:19,人生是欲望的角斗场,奈飞新出的韩剧《鱿鱼游戏》火的太过突然，连我这个一向紧跟消息的奈飞迷竟然错过了爆发过程，只剩下围观大家在疯狂的夸赞。但作为cult片爱好者，类似这种一群陌生人被围困在一个地方通过游戏来决出胜负，失败者立刻死亡的情节已经相当不陌生了，尤其是去年奈飞已经拍过一部日,,,0回应
神奇的Frank,较差,2021-10-23 21:45:36,配不上这热度的剧（有剧透）,6-7分水平的剧吧，打两星拉低一下。刻画了极端状况下的人性，演技不尬，肯定不能说是烂剧，但实在配不上当前这炒作出来的热度。下边是几个我眼中的败笔：1.主角人设太苍白，从一个偷老母亲的钱去赌马的混混，到一个完美男主角，这转变太大了，强行去配合剧情需要，逻辑上没,,,0回应
神奇的Frank,较差,2021-10-23 21:45:33,配不上这热度的剧（有剧透）,6-7分水平的剧吧，打两星拉低一下。刻画了极端状况下的人性，演技不尬，肯定不能说是烂剧，但实在配不上当前这炒作出来的热度。下边是几个我眼中的败笔：1.主角人设太苍白，从一个偷老母亲的钱去赌马的混混，到一个完美男主角，这转变太大了，强行去配合剧情需要，逻辑上没,,,0回应
Solo,暂无评价,2021-10-23 19:45:12,还要说多少遍，没经过配型的肾只能拿来爆炒,编剧是不是读者看多了…没经过配型，连最基本的血型都没检过，随便从一个尸体身上摘下来的器官，随便拿福尔马林一泡，塑料口袋一装就拿去卖，还潜水…真以为器官移植就像搭积木一样摁进去就可以了吗？？都2021年了，还要说多少遍，这样的器官真的只能拿来做爆炒腰花…………,1,,0回应
野次小峥嵘,推荐,2021-10-23 19:03:45,《鱿鱼游戏》、《寄生虫》被拍出来，代表着普世的绝望,普世，allovertheworld。导演在好莱坞被采访：“游戏规则设计得简单，以便让世界人民共鸣，而且本身地球90%的人都是底层”，作为该剧火爆全球的解释。于是无论是得奥斯卡的《寄生虫》，还是如今Netflix的《鱿鱼游戏》，大家都心知肚明的阶层与资本问题，被用不同手法表述,,,0回应
某Z,暂无评价,2021-10-23 18:37:47,棒子国资本的力量已经可以用只手遮天来形容了,他们会拍《鱿鱼游戏》这种抨击资本主义的片子来取悦本国的无产阶级，允许本国的无产阶级骂两声，发泄心中的愤怒，从而降低无产阶级革命发生的概率。但实际上呢，棒子国top资本家仍然在玩女星，玩男星，bottom资本家仍然在压榨无产阶级。美国通过政治正确来分化无产阶级，棒子,,,0回应
Vlad,力荐,2021-10-23 17:14:25,说是给大家最后一个公平竞争的机会，却还是隐藏着阶级和性别歧视,男二估计算是全剧除了黑老大之外最让人讨厌的人，但不得不说他可能是游戏里真正食物链顶端的人和其他这些赌徒，扒手，混混，偷渡客等社会底层不同，男二在外面的世界也算是中上层。高智商高学历见识广的投资公司高管，的确和其他玩家不是一个阶级。木头人里他是除了大boss外,,,0回应
月阳,还行,2021-10-23 14:46:51,鱿鱼游戏，死亡游戏,"NETFLIX最热系列剧，死亡游戏的题材并没有太吸引我，类似的题材有很多了《饥饿游戏》《饥饿站台》还有《动物世界》，为了金钱，冲破人性，零和博弈，争斗到你死我活。外刊都在报道这一剧集给世界带来的影响，再不看看就脱离""主流""了。《鱿鱼游戏》相比其他死亡游戏题材的影视",,,0回应
Hex是大虾条,力荐,2021-10-23 13:33:14,从六个游戏的设置看鱿鱼游戏的残酷真相,鱿鱼游戏最近全球大火，从本质上来说，这是韩剧创作能力的一次集中输出，离不开这些年韩国影视圈创作的不断提升，从题材上的放宽，到亚洲影视圈观众的不断提升注意力，让韩剧和韩国的一众演员不断在提升专业能力。这部剧是奈飞投资，但是整个创作也是非常韩国化，甚至这都不是,1,,0回应
桃子味的酱_,还行,2021-10-23 12:12:36,好看好看!,好好看!强烈安利!也没有很可怕就是觉得导演好会拍呀把人性的多面性展现得淋漓尽致要不是弹幕一直在说1号是大boss我真的猜不出来!还有尚佑给小黑钱的时候我以为他超级善良的啊啊啊啊啊后面的剧情简直了!!￼鱿鱼游戏￼鱿鱼游戏￼鱿鱼游戏￼鱿鱼游戏￼鱿,,,0回应
薛易,还行,2021-10-23 08:11:00,《鱿鱼游戏》：鱿鱼而已,最近，只要有剧粉的地方，都在讨论《鱿鱼游戏》。这部总共九集的新剧火得一塌糊涂。奈飞出品的这部剧真有这么好吗？我看完后的感觉是“剧如其名”，一条鱿鱼而已。在青岛，烤鱿鱼是一种小吃，而非正餐，更非大餐。在各种步行街上、当街小店里，烤好的鱿鱼，撒上料、刷上酱，当,1,1,0回应
Roxie_oct,还行,2021-10-23 02:36:29,最后一集霸道总裁爱上我的剧情，晕了,我没想到，大家传了这么久的爽剧，竟然是这样的男主，我好讨厌男主。人物前后很矛盾，前面是不顾老婆女儿，还把妈妈的钱偷出去赌马的人，后面到游戏里直接变身白莲花。每死个人他都能哭，你这么圣母，你来这游戏干嘛，你第一次来的时候，就已经知道是怎么样的，你第二次不还,,,0回应
Hyukoh.,力荐,2021-10-23 02:29:59,有感而发，随便写点,好久没写评论了，最近一口气看完了《鱿鱼游戏》，是真的很喜欢很喜欢。可以说完全符合我的口味。于是就突发奇想，想跟大家一起聊聊(不是个影评，只是随便写写)•首先，这个剧为什么火了?这个题材其实还是有蛮多了，不难看出很美剧式的结构。作为一个以前混韩圈的，韩剧现在,2,,0回应
文帙三,推荐,2021-10-22 23:55:31,鱿鱼为啥火,鱿鱼为啥火，不是因为游戏设定，而是从真实的社会底层场景进入，人物的情绪，心理变化的细微刻画，到偶然发现、进入游戏场景的过程，都很自然流畅不突兀，节奏把控非常到位，观众代入感很强。被吹上天的大逃杀、爱丽丝，上来就一个变态法案，上来就东京全死光了选三个没任何特,,,0回应
拔苗助长,暂无评价,2021-10-22 21:06:22,一身正气的鱿鱼,儿时的游戏，儿时的玩伴，纯洁美好的回忆，变成了杀人游戏，变成了暗网里的娱乐项目，很多人说高开低走，觉得烂尾的不行，但其实创作者却保证了有始有终。男主的人设，虽然悲惨，但是确实有很多值得诟病的地方，他到底爱不爱他妈妈，到底爱不爱他女儿，经历了失业，离婚，还是,1,,2回应
主要是来看的,暂无评价,2021-10-22 20:55:30,玻璃桥那关节目组应该是没有知识,钢化玻璃碎裂时只会碎裂成很小的小块，不可能出现大块，还把女一号给扎个缺口1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 (),,,1回应
八月黄柠,暂无评价,2021-10-22 19:26:27,宣传为主，cult和政宰为辅,以下涉嫌两个反转剧透，没看想看的朋友还请绕行作为一个大逃杀和赌命游戏类作品粉，于我而言鱿鱼游戏的亮点只有cult和李政宰。（毕竟这个题材的欧美电影和日本漫画动漫已经把花样玩遍了）通俗简单的游戏也许让观众容易理解和产生共鸣，但也因此真的玩不出什么花样。拔河前的,,,0回应
AOYO,推荐,2021-10-22 14:29:05,人心不可窥探,先从结尾说起，001号作为游戏发起人，生命将逝，面对456的谴责说了一句给人人警醒的话：要记住，这一切我没有强迫任何人。对于游戏，大家都是自愿的，而且中间有多次可以集体放弃和退出的机会，他们还是选择继续重新回到游戏。而让这些人投入继续参与的动力和诱惑，分别是身后,1,,0回应
Clemence,还行,2021-10-22 12:51:31,他说我记,逻辑性不完美，剧情一般般，氛围挺不错的，题材异想天开，表演还不算马马虎虎，漏洞几十出，比如警察活的太久了，装成工作人员，老头怎么活下来的，参加游戏的人不会杀死他吗，装的挺像，大家不要这样子了，这个时候就该偷着乐了，这个人物的剧情上有矛盾，主角光环太强了，也,,,0回应
花 子 🍭,暂无评价,2021-10-22 11:10:07,慎看！此片有严重的圣母绿茶婊的成分！会造成极度不适！,被朋友推荐来看的，当时觉得有点像饥饿游戏，后面发现还是不一样，一个是被迫参加，一个是自愿参加，我不知道这片是为什么火起来的这片三观塑造的有问题，这帮人第一次参加完木头人就明白这是个用自己命去堵钱的游戏，既然这样的话，大家都是成年人，会想不到后面为了活命会自,1,,0回应
黑达,还行,2021-10-22 01:07:14,后期剧情很违和,"主角开局啃老嗜赌给女儿的生日礼物刻画一个loser的形象，游戏过程中个人赛靠狗运，团体赛靠队，一直是个烦人又无能的负面角色。后面几集草草结束强行续一季的味道越来越重，恶人们不去优先淘汰弱者全部自相残杀，玻璃桥上出现了无数莫名其妙的信任,推人百分百把人推不安全的玻",,,0回应
小玄子,力荐,2021-10-22 00:25:55,男主思维混乱，拎不清，每逢大事必糊涂,这个男主角，真是思维混乱，拎不清的人，看见他就来气。从最开始他媳妇生育，他去管他同事，还觉得自己特别有理那儿；还有偷老妈钱去赛马那儿；去求前妻跟继父借钱，继父真给他他又不要……等等地方就体现的淋漓尽致。最后结局还是印证了他的一贯混乱的思维方式，明明可以赢钱,,,1回应
把持不住了,暂无评价,2021-10-21 21:16:37,只能说是掺着无味鸡汤的中庸之作,剧情上的新意早就被同类型的日剧基本都要玩过一遍了，对于看过的我来说吸引力太小了，但前几集起码制作还是可以的，动机都立得住。后面开始鸡汤的同时，整剧的节奏马上就不对了。游戏没有智斗，也没有新意，男主过关基本全靠运气，人性被刻画的过于脸谱化，让人很难有代入感。,1,,0回应
顶上🈶️灯,暂无评价,2021-10-21 19:58:52,人生就是一场鱿鱼游戏,一口气追完，告诉自己好好生活！所谓一步错步步错，跌入谷底而不甘只能釜底抽薪、亡命一搏！但再一想，往深了去想，好好生活太执著于某一面，也必受其所困陀螺般不得停歇！但、但生命不正在于运动吗？停不下来，不正是旺盛的生命样态吗？你看那一个个异常专注投入的游戏者，惊,2,,0回应
是那个鬼来着,推荐,2021-10-21 17:04:17,后知后觉追剧碎碎念,我反正还挺喜欢的，节奏，画面质感，色彩，音效都是我喜欢的类型，一开始由于太热门逆反心理没有去看，后知后觉看了三四集觉得还是有火的资本。首先挑选的演员演技都非常够格，朴海秀真的跟机监里面形象完全不同，这个角色形象也很立体，很多行为都蛮值得去深究分析的。网飞跟,1,,0回应
冷玉无思,推荐,2021-10-21 16:10:57,《鱿鱼游戏》里的资本主义（一）,韩剧《鱿鱼游戏》最近大热，出品方Netflix的股价因此上涨超20%，声称该剧将带来8.91亿美元估值影响。女主角扮演者的Ins粉丝数由40万增至2000万。很多人观剧后挑剔其中的儿童游戏规则简陋，或觉得剧情没有像以往“大逃杀”情节那般刺激，更有人看完戏后热衷于讨论游戏策略，亦,2,,0回应
猫乐道,很差,2021-10-21 13:19:20,《鱿鱼游戏》偷了哪些中国文化，美国是否自信？,《鱿鱼游戏》偷窃中国文化，包括但不限于【拔河】【打纸包】【123木头人】【椪糖】【服装设计】，有人说美国人自信，不玻璃心，不像中国。那你们知道美国拉黑了《中国：脱贫攻坚》《疯狂的外星人》《长津湖》等电影吗？好一个自信，啧啧啧，真自信，自信的拉黑了中国的影片,2,4,0回应
F,力荐,2021-10-21 12:55:33,赢是屈从，不赢却自主,1、高压挤压出的人性，复杂如同调色盘。从第一次放弃游戏，到第二次自愿再回来，民主方式自愿选择放弃又再次作出个体自愿选择的背后，是现实的驱赶和幻象的诱惑。放弃是相比得到机会赢得这辈子都赚不到的钱，死亡像是脑门前的枪逼迫放弃，不放弃是在现实苟活中的绝境，像是身,1,,1回应
moooofly,力荐,2021-10-21 11:16:02,比一般爽片更深刻的爽片,本以为是电影，结果是电视剧，而且似乎还不止一季看了第一集，前半集介绍男主的情况，挺过半集后，就进入了游戏模式目前看来，未来走向应该是《动物世界》，《饥饿游戏》，《大逃杀》一脉的---全部看完不得不说，中间有两集内容对人性进行了深刻探讨，尤其是玩弹珠那一集,1,,0回应
Shiro,还行,2021-10-21 10:48:52,《鱿鱼游戏》不值得提倡,看完《鱿鱼游戏》，感受并非回味无穷。只能说，闲来打发时间，算是个猎奇，节奏快，没有注水，可以边喝啤酒边和老公讨论剧情的一个片子。感受到《鱿鱼游戏》火起来了，是前两天9岁的外甥女问我，可不可以在我家看《鱿鱼游戏》。我问她，你怎么知道的？她说，他们全班都在看。,1,,0回应
pè名字,暂无评价,2021-10-21 02:39:04,画蛇添足的反转，人性一定要黑暗？,讲真看到最后吴一男居然是最终BOSS，我就草了。这类剧集，或者说现代所有此类作品，到最后似乎只有一个主题——人性本恶，人性经不起考验。好像不把人性之恶挖掘出来，就显示不出你有深度？一个一生贫苦，身患绝症但不以自己的悲惨来拖所有人下水的老人（第一次投票退出）。,1,,5回应
「Tina.天」,还行,2021-10-21 00:52:56,关于《鱿鱼游戏》的一些Bug 欢迎补充,Bug1：老头怎么确定自己在拔河那关稳赢Bug2：警察手机的电为什么永远用不完Bug3：一部犯罪片为什么最后正义没有赢，这个组织为什么没有被捣毁，警察为什么花了那么大戏份就这样不了了之了，男主为什么最后还是放弃了女儿回到游戏当中……Bug4：如果医生被杀是因为破坏了公平,3,,2回应
jasona,暂无评价,2021-10-21 00:31:33,人性的浓缩，疯狂的游戏,通过一场游戏，表现了人性这个永恒的主题，即使在最原始的残酷的（或者是隐喻冷漠的现代工业社会）生存环境里，人性善的一面依然存在，人性罪恶的一面也同时存在，两者奇妙的调和存在于每个人身上，这大概就是人性最神奇的地方，也是最有戏剧性的地方。全剧拍的不落俗套，而且,,,0回应
jasona,暂无评价,2021-10-21 00:05:31,人性的浓缩，疯狂的游戏,主要表现了人性这个永恒的主题，即使在最原始的残酷的（或者是冷漠的现代工业社会）生存环境里，人性善的一面依然存在，人性罪恶的一面也同时存在，两者奇妙的调和存在于每个人身上，这大概就是人性最神奇的地方，也是最有戏剧性的地方。主要表现了人性这个永恒的主题，即使在,,,0回应
缺牙巴胖K,暂无评价,2021-10-20 19:46:02,游戏不过人生,紧张的时候刷本剧有益于解压，被简单的游戏直接拖入更加紧张、刺激、残暴的情绪，不知不觉就忘记了现实的压力。人类基因热爱故事和游戏，何况是做游戏的故事，新瓶装旧酒，无论是《动物世界》、《饥饿游戏》还是这本燃遍Netflix的《鱿鱼游戏》，在感官刺激中着眼的还是人性，,1,,0回应
,较差,2021-10-20 17:44:13,实话实说真的后悔看到最后…,本来剧情设定还是挺精彩的，人性在游戏中暴露无疑了。有种越看越有味道的感觉，但为什么最后设定的必须让男主这么恶心？如果需要凸显男主的善良。麻烦从一开始就好好表现出来，而我只看到从开始男主对待母亲对待女儿，木头人游戏中甩开求助者，再后来为了钱去参加游戏看到那么,,,0回应
🦊,推荐,2021-10-20 15:34:19,数字与符号,现象级爽剧，据说是Netflix史上收视最高自制剧。的确是比较精彩，三四天闲暇之余就刷完了，且一集接一集看的停不下来，相当丝滑。相对的，太多细节就经不起推敲了，当然也没必要去推敲，看的就是一个爽（除了结局没有踩到大家的爽点）。123木头人、抠糖饼、拔河、弹珠、跳格子,,,0回应
影君子老罗,推荐,2021-10-20 14:58:51,津津有味与弦外之音,本来俺基本不看豆瓣八分以下的剧（当然国产剧除外），对佳剧迭出，动辄豆瓣评分就在九分以上的日韩剧更是如此。但鉴于该剧的观看量甚大，算是现象级了，又鉴于该剧的IMDB评分竟然比豆瓣高，八分以上也不低了。于是找来，竟一气看完了。感觉拍得中规中矩，没有明显的短板，若光,,,0回应
F,很差,2021-10-20 13:18:43,将屎包装成金子，砸出一片繁荣,乏了。真的乏了。《鱿鱼游戏》每刷我屏一次，我都觉得智商被侮辱了。最近看了各种脱裤子放屁的分析，什么符号学什么隐喻什么阶级什么社会。这就好比一个人用精密的器材将一坨屎拆解，然后逐一解释“你看，这是没消化的鲍鱼”、“这是海参”、“这是和牛”、“这是顶级三文鱼,22,4,6回应
张星翰,还行,2021-10-19 22:33:17,我们一生的故事,捡了本《赌博默示录》参加《诈欺游戏》输光钱，又差点饿死在《动物世界》里的《饥饿游戏》，终于在《大逃杀》后来到《弥留之国的李子成》呀，加油！想想是从什么时候开始的，好像是饥饿游戏吧，赌博默示录也是很多年之前的事了。动物世界也早拍完了，凹凸世界也是青少版的，从,,1,0回应
罂月,暂无评价,2021-10-20 11:32:12,好的故事却制成缺乏深度挖掘的娱乐片，概括为南韩负债者版“花木兰”不为过,是否依然是一部韩剧，不取决于是否是韩语念白，而取决于漫长封建时代中主要的思想影响浸染过的东亚价值观仍然发挥相当的作用。作为一部娱乐休闲平台投资的韩片，此剧不例外的现代社科视角的批判性明显过度遮蔽，剧本的自我剖析挖掘度不够，本可为亮点的视角流于浅薄。撑到最后,,1,0回应
笑笑菇凉,推荐,2021-10-20 12:40:53,演技OK，剧情老套，印象最深刻的反而是两个工具人女孩,打四星是因为演技很棒，没有让我出戏。剧情说实在的，开头还行，但是弹珠之后的剧情，基本都猜得到。男主我感觉并没有什么存在感，他的善良在我看来也并不是善良，最应该善待的是家人，可他却最亏欠。智英和姜晓真的让人落泪，一个是为了把弟弟家人带到韩国来需要巨额金钱，,1,,0回应
豆它它,推荐,2021-10-20 12:21:16,善良有多难？,怎么就火了对韩国影视作品一直不太感冒，虽然时不时有爆款出品，就刷刷简介评论，没怎么完整看过，最近赶上离职在家，闲得无聊，就下了鱿鱼游戏，已经完结，一口气看完，也不用抓耳饶腮的一周一集等着心焦，挺好。总觉得韩国影视作品，暗黑有余，深度不足，但人家总能在玩烂,,,0回应
张星翰,还行,2021-10-19 21:26:50,我们的一生,其实第1个看的是饥饿游戏嘲笑鸟，那个时候高二看着一个爽，看了叫爆米花，看的是女主角漂亮，男主角帅气。后来在大学看了，有一个动画片叫凹凸世界，那时候还挺奇怪，怎么中国动画片一下就火了呢，后来才发现跟鱿鱼游戏一模一样，中国这个创业比他早多了，而且还是青少版的，,,1,0回应
tyakasha,力荐,2021-10-20 07:50:03,看剧时候的一些记录,1、一二三木头人：456的含义，男主中奖的金额与他的编码都是456。男主因为中奖但钱被偷被迫参加。男主赌马那一段，说明参加游戏的人都有赌徒的侥幸心理。2、地狱：按照游戏规则第三条，如果超一半的人选择终止游戏即可终止，投票的顺序反着来，最终100:100，由1号老头投反对票,,,1回应
寄遥,还行,2021-10-20 09:15:10,《鱿鱼游戏》不过瘾？这8部同类型R级片更劲爆,万万没想到，《鱿鱼游戏》会这么火：10月12日，奈飞宣布《鱿鱼游戏》为其史上开播观看量最高的剧集，同时也是第一部开播观看量破亿的Netflix剧集。剧中简单的剧情、看似低幼的游戏、鲜明整洁的摄影风格，与血浆四溅的残酷画面形成了强烈反差，给观众带来了强烈的视觉与情感冲,2,,0回应
熊猫,力荐,2021-10-20 08:30:08,首播轰炸热搜，半夜爆肝看完全集,（本文首发于公众号【韩剧天使】欢迎联系授权转载）来了来了，期待已久的这部韩剧终于来了！温馨提示，建议小伙伴们在白天或者中午观看。每个人在孩童时期都玩过许多游戏，无论是哪个国家还是哪个年代的小朋友，都听说过也玩过「一二三木头人」这个游戏。话不多说，让我,,,0回应
熊猫,力荐,2021-10-20 06:27:41,首播轰炸热搜，半夜爆肝看完全集,（本文首发于公众号【韩剧天使】欢迎联系授权转载）来了来了，期待已久的这部韩剧终于来了！温馨提示，它的内容不恐怖但涉及血腥暴力，建议小伙伴们在白天或者中午观看。每个人在孩童时期都玩过许多游戏，无论是哪个国家还是哪个年代的小朋友，都听说过也玩过「一二三木头,,,0回应
gru1982,力荐,2021-10-20 02:33:13,日本风,里边的001老头像个日本人，脑瘤是参照了电锯惊魂。三角，圈，方块也是Sony游戏发明的吧。想模仿日本人那种荒诞，单调，冷酷的感觉。里边背景音乐似乎也和花与蛇的某一段一样。这部剧更适合日本人去拍。男主角和那个黑老大的发型也像日本人。韩国在某些方面可能很羡慕日本的文化,,,0回应
amon可以的,还行,2021-10-20 01:12:25,456亿韩元能干什么,聊聊这个数字与我自己最近知晓的事情吧1人民币折合184韩元1美元折合1174韩元1英镑折合1620.7韩元1爽折合1178亿韩元1亿韩元在韩国买一条人命，折合人民币54万，可以买一辆宝马5系；456亿韩元约等于今年的ti总奖金；最近跟叔叔卖了3万吨煤，赚了37亿韩元；沙特王子收购纽,1,,1回应
乐宝宝,暂无评价,2021-10-20 00:58:45,主角不同，结局不同,如果主角是吴京，随便夺上一把枪，这游戏就通关了吧。鲸鱼游戏·战狼3111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111 (),,,0回应
